order_id,year,month,quarter,supplier_id,supplier_type,transport_mode,product_complexity,order_qty_units,shock_event,regulatory_intensity,crit_dep_index,supplier_delay_rate,inbound_damage_rate,storage_loss_rate,process_rework_trigger_rate,distribution_delay_rate,stockout_rate,supplier_audit_score,monitoring_frequency_per_month,contingency_maturity_likert,collaboration_index,traceability_completeness,data_accuracy,inspection_coverage,unit_cost_cop,unit_cost_sd_cop,cost_var_metric,no_quality_cost_cop,scrap_rate,rework_rate,noq_metric,margin_pct,breakeven_units,on_time_delivery,cycle_time_hours,cycle_time_hours_inv,nonconformity_rate,RiskIndex,SCRM_Practices,TraceIndex,cluster
ORDR-0087,2025,9,3,20,internacional,terrestre,1,296,0,0.177,0.59,0.181,0.093,0.056,0.203,0.243,0.24,100,9,3,0.655,0.072,0.194,0.193,86892,12924,0.1487,11112,0.02,0.114,0.1365,23.46,1200,0.761,19.9,0.1921,13.38,0.6389,0.488,0.1177,3
ORDR-0088,2024,1,1,1,nacional,terrestre,3,160,0,0.295,0.506,0.146,0.085,0.073,0.179,0.243,0.265,100,12,3,0.339,0.309,0.41,0.581,229047,42246,0.1844,35551,0.034,0.1279,0.1333,18.99,736,0.865,27.37,0.0723,10.99,0.6451,0.4474,0.4216,3
ORDR-0089,2024,7,3,1,nacional,terrestre,1,255,0,0.176,0.499,0.115,0.019,0.018,0.076,0.15,0.119,100,12,5,0.948,0.891,0.862,0.878,85000,3084,0.0363,0,0.0046,0.0035,0.0,35.67,1055,0.883,12.71,0.4399,0.0,0.1999,0.8334,0.8914,4
ORDR-0090,2025,8,3,6,nacional,aereo,3,153,0,0.835,0.322,0.375,0.142,0.091,0.263,0.291,0.301,100,13,3,0.335,0.53,0.514,0.752,228273,29771,0.1304,25745,0.0525,0.1275,0.1155,23.87,587,0.736,28.53,0.0594,11.12,0.9889,0.4678,0.5985,2
ORDR-0091,2024,5,2,12,internacional,terrestre,3,211,0,0.503,0.585,0.291,0.134,0.083,0.236,0.27,0.261,100,12,5,0.626,0.953,0.974,0.902,261737,26944,0.1029,14558,0.0334,0.1131,0.0634,30.38,402,0.778,26.29,0.0855,6.09,0.8617,0.7256,0.9608,2
ORDR-0092,2025,5,2,3,nacional,terrestre,2,200,0,0.286,0.421,0.35,0.139,0.08,0.226,0.285,0.273,100,16,4,0.763,0.539,0.486,0.215,151579,29511,0.1947,10207,0.0428,0.0991,0.0562,25.05,843,0.766,21.56,0.1583,12.55,0.902,0.7674,0.388,3
ORDR-0093,2025,7,3,20,nacional,terrestre,1,230,0,0.204,0.435,0.274,0.097,0.062,0.223,0.193,0.301,100,7,3,0.285,0.381,0.226,0.358,98520,16295,0.1654,5571,0.0415,0.1244,0.0472,24.34,1200,0.871,16.59,0.2795,8.98,0.7241,0.3206,0.2975,3
ORDR-0094,2024,7,3,8,nacional,aereo,1,297,1,0.305,0.495,0.343,0.134,0.083,0.239,0.254,0.286,100,15,4,0.29,0.487,0.402,0.716,85000,16323,0.192,14637,0.0626,0.1138,0.1839,13.66,1200,0.687,23.0,0.1329,10.66,0.8954,0.5872,0.5311,2
ORDR-0095,2024,8,3,13,internacional,terrestre,1,250,0,0.245,0.37,0.155,0.051,0.036,0.144,0.143,0.14,100,10,2,0.446,0.118,0.221,0.433,116961,9735,0.0832,2215,0.0311,0.061,0.0211,26.38,1037,0.79,8.94,0.73,3.85,0.3586,0.3487,0.2341,1
ORDR-0096,2024,2,1,21,nacional,maritimo,1,34,0,0.457,0.556,0.066,0.07,0.027,0.046,0.186,0.207,100,15,4,0.88,0.915,0.951,0.863,85000,4467,0.0526,106,0.0015,0.0,0.0014,36.17,1041,0.94,7.28,0.9513,0.0,0.3223,0.7849,0.9249,4
ORDR-0097,2025,7,3,6,internacional,aereo,2,24,0,0.85,0.241,0.263,0.11,0.066,0.109,0.249,0.187,100,10,3,0.198,0.453,0.495,0.578,241327,26171,0.1084,7174,0.0455,0.0628,0.029,29.49,450,0.864,25.35,0.0978,3.08,0.6309,0.3567,0.4994,2
ORDR-0098,2025,2,1,9,nacional,terrestre,3,76,0,0.543,0.625,0.347,0.127,0.088,0.251,0.285,0.302,100,15,3,0.614,0.33,0.445,0.461,222123,43533,0.196,34431,0.0604,0.137,0.1482,17.7,814,0.687,34.71,0.005,9.68,0.936,0.6047,0.3954,3
ORDR-0099,2024,5,2,14,nacional,terrestre,2,298,0,0.355,0.356,0.289,0.108,0.072,0.252,0.14,0.247,100,9,4,0.675,0.828,0.878,0.678,156363,19407,0.1241,12377,0.0374,0.092,0.0703,29.57,692,0.829,14.07,0.3737,7.7,0.7214,0.5858,0.7994,2
ORDR-0100,2024,7,3,18,nacional,aereo,3,166,0,0.223,0.402,0.205,0.125,0.067,0.218,0.211,0.098,100,15,4,0.812,0.693,0.804,0.769,195711,19641,0.1004,1973,0.0299,0.0606,0.0107,32.07,510,0.831,24.65,0.1076,6.82,0.6211,0.7621,0.7619,2
ORDR-0101,2025,12,4,8,internacional,terrestre,2,93,0,0.082,0.448,0.32,0.132,0.091,0.216,0.251,0.293,100,6,2,0.19,0.482,0.313,0.344,138288,22582,0.1633,16542,0.0514,0.1264,0.1345,20.97,1104,0.74,25.29,0.0986,11.54,0.8845,0.176,0.3571,3
ORDR-0102,2024,9,3,2,nacional,terrestre,1,70,0,0.002,0.585,0.312,0.102,0.063,0.215,0.173,0.199,100,8,3,0.124,0.62,0.619,0.29,100702,15686,0.1558,7810,0.0201,0.1112,0.0723,24.27,1200,0.815,14.4,0.3595,9.2,0.6708,0.2884,0.4905,3
ORDR-0103,2025,2,1,10,internacional,aereo,1,289,0,0.348,0.267,0.253,0.083,0.026,0.114,0.205,0.066,100,11,4,0.429,0.905,0.942,0.949,126918,1269,0.01,4116,0.0335,0.0186,0.034,38.0,664,0.947,14.89,0.3396,0.27,0.4038,0.5468,0.951,4
ORDR-0104,2025,11,4,5,internacional,terrestre,3,295,0,0.193,0.335,0.288,0.064,0.028,0.229,0.149,0.212,100,14,3,0.297,0.387,0.238,0.228,244765,23977,0.098,25364,0.0402,0.123,0.1092,24.03,544,0.826,30.84,0.0365,10.81,0.534,0.4768,0.2544,1
ORDR-0105,2025,3,1,8,internacional,terrestre,1,76,0,0.698,0.273,0.163,0.059,0.054,0.135,0.123,0.181,100,9,4,0.323,0.543,0.669,0.621,178308,9560,0.0536,8918,0.0137,0.0954,0.0515,30.07,597,0.793,15.55,0.3148,4.17,0.4187,0.4678,0.6072,4
ORDR-0106,2025,12,4,8,nacional,terrestre,2,241,1,0.195,0.475,0.317,0.133,0.085,0.252,0.248,0.255,100,13,3,0.23,0.31,0.292,0.356,187149,62790,0.3355,45673,0.0711,0.1296,0.2118,3.94,1200,0.657,28.47,0.0601,14.73,0.8711,0.4326,0.2954,3
ORDR-0107,2024,3,1,15,nacional,terrestre,2,50,0,0.519,0.258,0.303,0.082,0.068,0.192,0.247,0.261,100,15,4,0.49,0.656,0.712,0.794,197612,8001,0.0405,0,0.0279,0.063,0.0,30.51,531,0.87,15.7,0.3092,5.77,0.7182,0.6542,0.7266,2
ORDR-0108,2024,7,3,6,nacional,terrestre,3,151,0,0.271,0.59,0.168,0.067,0.034,0.151,0.091,0.187,100,15,4,0.665,0.897,0.82,0.848,272086,12198,0.0448,964,0.0,0.0486,0.004,34.94,337,0.973,22.45,0.1422,0.0,0.3845,0.7128,0.8674,4
ORDR-0109,2024,2,1,10,internacional,maritimo,3,183,0,0.591,0.54,0.37,0.131,0.089,0.259,0.287,0.298,100,16,4,0.868,0.491,0.48,0.567,265118,50303,0.1897,35414,0.0521,0.123,0.1222,22.4,539,0.718,31.69,0.0289,10.12,0.9596,0.8026,0.5031,3
ORDR-0110,2024,4,2,10,nacional,terrestre,3,238,0,0.616,0.375,0.345,0.128,0.091,0.255,0.281,0.301,100,10,3,0.409,0.509,0.076,0.285,225269,47814,0.2123,35998,0.0412,0.1316,0.1498,19.76,719,0.766,32.64,0.0209,13.22,0.9424,0.4274,0.2615,3
ORDR-0111,2025,9,3,10,nacional,terrestre,3,94,0,0.112,0.657,0.3,0.107,0.054,0.133,0.21,0.212,100,8,4,0.833,0.537,0.695,0.706,203004,21490,0.1059,16792,0.0248,0.027,0.0885,27.37,576,0.783,28.33,0.0615,10.13,0.6274,0.617,0.6465,2
ORDR-0112,2025,4,2,15,nacional,terrestre,1,170,0,0.341,0.482,0.327,0.124,0.067,0.227,0.24,0.238,100,17,5,0.947,0.495,0.752,0.855,85000,9426,0.1109,4706,0.0556,0.0791,0.0463,32.03,1175,0.709,16.84,0.2717,9.01,0.7924,0.9418,0.7085,2
ORDR-0113,2024,6,2,13,nacional,terrestre,1,58,0,0.041,0.338,0.233,0.069,0.017,0.064,0.206,0.104,100,13,3,0.726,0.851,0.809,0.631,132058,1321,0.01,0,0.0,0.016,0.0,31.95,759,1.0,12.16,0.4709,1.18,0.3447,0.5988,0.7654,4
ORDR-0114,2025,3,1,1,nacional,terrestre,2,79,0,0.738,0.272,0.191,0.118,0.078,0.235,0.214,0.108,100,16,4,0.913,0.773,0.803,0.72,206962,16397,0.0792,17116,0.0173,0.1032,0.0812,27.82,556,0.906,24.39,0.1114,5.64,0.6475,0.8177,0.7704,2
ORDR-0115,2025,9,3,9,nacional,terrestre,3,298,0,0.233,0.467,0.325,0.112,0.085,0.243,0.243,0.263,100,11,4,0.302,0.534,0.201,0.585,197147,38868,0.1972,17868,0.0487,0.1138,0.1055,21.7,748,0.845,31.15,0.0337,8.57,0.8413,0.5042,0.4275,3
ORDR-0116,2025,9,3,12,nacional,terrestre,2,172,0,0.45,0.297,0.254,0.067,0.064,0.15,0.21,0.133,100,15,3,0.227,0.367,0.483,0.545,164519,13031,0.0792,18336,0.0366,0.0979,0.125,25.86,752,0.829,19.84,0.1934,8.99,0.5322,0.4751,0.4532,1
ORDR-0117,2025,12,4,9,nacional,terrestre,2,216,0,0.722,0.302,0.354,0.132,0.087,0.197,0.265,0.28,100,8,3,0.41,0.048,0.038,0.275,154813,29005,0.1874,13070,0.0692,0.124,0.0948,17.48,1183,0.721,24.68,0.1071,14.98,0.8807,0.3842,0.0863,3
ORDR-0118,2025,10,4,21,internacional,terrestre,1,242,0,0.182,0.263,0.34,0.127,0.088,0.256,0.229,0.189,100,14,3,0.514,0.458,0.622,0.392,85000,13384,0.1575,12935,0.052,0.1452,0.1385,23.67,1200,0.706,16.24,0.2909,8.74,0.8304,0.5495,0.4747,3
ORDR-0119,2025,12,4,7,nacional,terrestre,2,255,0,0.404,0.375,0.343,0.103,0.038,0.228,0.178,0.262,100,14,5,0.89,0.74,0.888,0.716,111291,13829,0.1243,9064,0.0229,0.0775,0.0921,31.58,910,0.884,20.37,0.182,3.04,0.686,0.8575,0.7871,2
ORDR-0120,2025,6,2,22,nacional,terrestre,2,247,1,0.123,0.225,0.207,0.133,0.092,0.24,0.27,0.304,100,3,3,0.012,0.349,0.325,0.122,85228,24290,0.285,18513,0.0696,0.1576,0.1886,7.02,1200,0.653,27.02,0.0765,15.48,0.8667,0.1422,0.2314,3
ORDR-0121,2024,7,3,23,internacional,terrestre,2,257,0,0.335,0.424,0.359,0.116,0.07,0.238,0.259,0.274,100,7,4,0.41,0.707,0.546,0.534,177373,17704,0.0998,14086,0.0348,0.1167,0.0819,29.04,621,0.777,21.92,0.1516,8.08,0.8456,0.4535,0.5876,2
ORDR-0122,2024,10,4,10,internacional,aereo,2,231,0,0.178,0.412,0.34,0.126,0.062,0.225,0.246,0.304,100,18,4,0.858,0.764,0.773,0.876,176167,22961,0.1303,10682,0.0246,0.1072,0.0554,29.56,614,0.802,23.5,0.1249,7.34,0.8345,0.8427,0.8161,2
ORDR-0123,2025,3,1,6,nacional,terrestre,3,248,0,0.167,0.582,0.375,0.144,0.092,0.262,0.283,0.3,100,12,4,0.652,0.152,0.251,0.163,142041,37618,0.2648,19481,0.0633,0.1488,0.1477,12.64,1200,0.68,31.88,0.0273,15.58,0.9874,0.6433,0.1536,3
ORDR-0124,2025,4,2,9,nacional,maritimo,1,26,0,0.618,0.411,0.145,0.135,0.034,0.132,0.18,0.118,100,9,3,0.507,0.83,0.633,0.736,138168,10617,0.0768,5580,0.0035,0.0447,0.0454,28.7,807,0.799,14.75,0.3451,0.0,0.4682,0.4385,0.7368,4
ORDR-0125,2025,3,1,24,nacional,terrestre,2,163,0,0.315,0.649,0.273,0.114,0.05,0.229,0.266,0.213,100,8,2,0.683,0.607,0.63,0.466,177924,29124,0.1637,11261,0.0292,0.0204,0.0699,22.2,810,0.835,22.35,0.144,11.82,0.7175,0.3847,0.5567,2
ORDR-0126,2025,6,2,18,nacional,terrestre,2,227,0,0.285,0.301,0.125,0.06,0.027,0.131,0.146,0.032,100,15,2,0.88,0.831,0.673,0.487,196794,7356,0.0374,0,0.0056,0.0424,0.0,31.6,515,0.969,15.24,0.3261,4.7,0.2629,0.6028,0.6565,4
ORDR-0127,2025,7,3,24,internacional,aereo,1,110,0,0.864,0.303,0.109,0.098,0.019,0.129,0.087,0.118,100,19,5,0.991,0.911,0.912,0.744,96275,1000,0.01,0,0.0,0.0008,0.0,38.0,875,1.0,7.98,0.847,1.65,0.3058,1.0,0.8648,4
ORDR-0128,2025,12,4,8,internacional,terrestre,2,194,1,0.402,0.648,0.343,0.097,0.086,0.256,0.265,0.258,100,14,3,0.887,0.684,0.868,0.912,134615,28743,0.2135,7412,0.0422,0.1029,0.0581,20.72,1147,0.74,24.94,0.1034,3.79,0.8513,0.6745,0.8354,2
ORDR-0129,2025,7,3,23,internacional,terrestre,2,71,0,0.296,0.449,0.052,0.014,0.009,0.041,0.031,0.05,100,16,5,0.894,0.806,0.828,0.723,169100,1691,0.01,0,0.0,0.0,0.0,37.4,506,1.0,13.73,0.3889,0.0,0.0,0.9023,0.7915,4
ORDR-0130,2024,6,2,15,nacional,terrestre,3,129,0,0.245,0.436,0.172,0.09,0.042,0.167,0.138,0.173,100,17,4,0.826,0.43,0.793,0.38,237051,21309,0.0899,13490,0.0394,0.0661,0.0503,25.62,527,0.891,23.88,0.119,3.39,0.4677,0.8102,0.5201,1
ORDR-0131,2024,11,4,13,nacional,terrestre,1,172,0,0.964,0.303,0.159,0.047,0.032,0.144,0.069,0.124,100,8,2,0.471,0.55,0.496,0.758,163005,1630,0.01,12257,0.0144,0.0162,0.0789,26.17,750,0.975,8.2,0.8179,1.54,0.2899,0.3137,0.6014,1
ORDR-0132,2025,8,3,18,nacional,terrestre,3,247,0,0.601,0.492,0.354,0.112,0.074,0.252,0.245,0.239,100,11,4,0.505,0.046,0.113,0.33,232320,58225,0.2506,33211,0.0536,0.1535,0.168,13.83,996,0.745,29.79,0.0465,12.27,0.8252,0.5723,0.1326,3
ORDR-0133,2024,11,4,9,internacional,aereo,3,289,0,0.428,0.593,0.375,0.135,0.089,0.255,0.276,0.299,100,18,5,0.831,0.859,0.92,0.766,227460,36515,0.1605,17518,0.0275,0.1304,0.089,26.02,541,0.75,29.4,0.0503,11.49,0.9586,0.9247,0.8581,2
ORDR-0134,2024,2,1,6,nacional,terrestre,3,152,0,0.964,0.628,0.095,0.103,0.074,0.144,0.124,0.255,100,5,2,0.679,0.775,0.639,0.91,216322,18164,0.084,12048,0.0091,0.0732,0.0488,27.98,529,0.888,28.06,0.0646,1.22,0.5413,0.3181,0.7861,4
ORDR-0135,2024,8,3,7,internacional,terrestre,3,220,0,0.192,0.671,0.364,0.122,0.081,0.258,0.271,0.237,100,18,4,0.667,0.905,0.94,0.927,278411,31510,0.1132,22773,0.0415,0.1241,0.0741,26.41,435,0.774,27.19,0.0745,9.31,0.8783,0.7787,0.9419,2
ORDR-0136,2024,9,3,10,nacional,terrestre,2,139,0,0.679,0.299,0.261,0.128,0.069,0.244,0.262,0.27,100,16,4,0.77,0.322,0.379,0.637,182988,27520,0.1504,14636,0.0267,0.1338,0.0878,26.95,649,0.784,25.27,0.0988,4.81,0.8146,0.7697,0.4365,3
ORDR-0137,2024,6,2,21,nacional,maritimo,1,154,0,0.203,0.339,0.111,0.041,0.037,0.076,0.124,0.166,100,14,3,0.434,0.105,0.097,0.252,85000,10963,0.129,5314,0.0227,0.0595,0.0715,22.52,1200,0.89,10.58,0.5782,5.65,0.2817,0.5227,0.1177,1
ORDR-0138,2025,3,1,23,nacional,terrestre,3,131,0,0.078,0.303,0.201,0.104,0.054,0.195,0.096,0.23,100,13,3,0.478,0.236,0.527,0.451,203566,31982,0.1571,14230,0.0171,0.0651,0.0803,22.94,685,0.883,28.9,0.0555,0.0,0.5556,0.5157,0.3879,1
ORDR-0139,2025,5,2,7,internacional,terrestre,3,138,0,0.089,0.472,0.308,0.126,0.087,0.227,0.262,0.259,100,10,2,0.395,0.985,0.964,0.806,198851,24825,0.1248,18626,0.0066,0.0941,0.0818,25.34,635,0.78,26.97,0.0771,4.82,0.8551,0.3317,0.9318,2
ORDR-0140,2025,11,4,2,internacional,aereo,1,126,0,0.092,0.217,0.137,0.043,0.023,0.143,0.231,0.071,100,5,3,0.419,0.684,0.7,0.626,130981,7509,0.0573,8760,0.0,0.0156,0.077,28.08,870,0.962,10.4,0.5925,0.59,0.3228,0.322,0.6683,4
ORDR-0141,2025,6,2,9,internacional,aereo,2,77,0,0.272,0.312,0.259,0.124,0.077,0.21,0.235,0.263,100,14,4,0.525,0.092,0.192,0.198,219433,31448,0.1433,27014,0.0587,0.1364,0.1056,24.97,584,0.845,21.29,0.1633,11.83,0.7801,0.6442,0.1258,3
ORDR-0142,2025,5,2,14,nacional,terrestre,3,125,0,0.691,0.514,0.288,0.12,0.058,0.225,0.185,0.174,100,13,4,0.346,0.747,0.759,0.805,195276,16972,0.0869,18672,0.008,0.0994,0.0825,23.13,708,0.891,24.08,0.1159,8.43,0.6723,0.5625,0.7784,2
ORDR-0143,2024,7,3,15,nacional,terrestre,2,275,0,0.299,0.517,0.32,0.133,0.088,0.252,0.281,0.299,100,17,5,0.628,0.41,0.586,0.739,127690,25652,0.2009,13082,0.0637,0.1208,0.1028,17.88,1200,0.773,24.31,0.1126,9.46,0.9271,0.8349,0.5775,2
ORDR-0144,2025,3,1,20,nacional,aereo,3,58,1,0.286,0.454,0.276,0.115,0.074,0.248,0.234,0.257,100,9,3,0.171,0.031,0.043,0.217,190321,48116,0.2528,53451,0.0696,0.1586,0.2365,5.01,1200,0.659,35.41,0.0,9.13,0.7916,0.3259,0.0602,3
ORDR-0145,2024,1,1,23,nacional,maritimo,3,98,0,0.13,0.427,0.293,0.089,0.063,0.244,0.223,0.222,100,18,5,0.702,0.876,0.949,0.896,184942,2503,0.0135,0,0.0,0.0842,0.0,34.85,497,0.917,22.76,0.137,1.5,0.709,0.8814,0.9234,2
ORDR-0146,2024,10,4,9,nacional,terrestre,1,241,0,0.672,0.241,0.315,0.048,0.042,0.152,0.185,0.124,100,10,3,0.578,0.629,0.457,0.66,131553,18641,0.1417,1938,0.0153,0.0613,0.0152,26.38,922,0.879,16.37,0.2867,3.0,0.4696,0.484,0.5777,1
ORDR-0147,2025,5,2,7,nacional,terrestre,1,285,0,0.723,0.374,0.152,0.035,0.022,0.038,0.072,0.161,100,10,4,0.862,0.102,0.461,0.242,85000,8137,0.0957,0,0.0384,0.0162,0.0,30.55,1200,0.866,12.76,0.4372,2.4,0.1999,0.6701,0.2396,1
ORDR-0148,2025,8,3,2,internacional,terrestre,2,69,0,0.175,0.27,0.261,0.098,0.026,0.071,0.121,0.16,100,14,4,0.871,0.766,0.724,0.655,177586,1776,0.01,15189,0.0,0.082,0.074,32.28,558,0.957,13.17,0.4161,2.48,0.4044,0.7601,0.7158,4
ORDR-0149,2024,10,4,12,nacional,terrestre,1,281,0,0.128,0.394,0.094,0.033,0.023,0.055,0.118,0.198,100,18,5,0.894,0.915,0.923,0.845,85000,5866,0.069,0,0.0,0.0087,0.0,35.42,1063,0.998,7.0,1.0,0.0,0.2339,0.9458,0.9083,4
ORDR-0150,2025,8,3,12,nacional,terrestre,1,298,0,0.264,0.374,0.303,0.053,0.076,0.25,0.158,0.273,100,18,5,0.925,0.857,0.861,0.673,85000,10949,0.1288,6754,0.013,0.0702,0.0692,28.88,1200,0.838,12.89,0.4307,7.16,0.6861,0.9561,0.8015,2
ORDR-0151,2025,4,2,19,nacional,terrestre,3,208,0,0.111,0.427,0.318,0.117,0.072,0.233,0.27,0.28,100,14,4,0.877,0.297,0.572,0.798,223053,36831,0.1651,25319,0.0506,0.1071,0.1088,19.74,727,0.789,30.25,0.042,7.32,0.8379,0.7621,0.5563,2
ORDR-0152,2025,9,3,2,internacional,terrestre,2,276,0,0.378,0.498,0.334,0.135,0.075,0.159,0.271,0.279,100,13,3,0.551,0.478,0.219,0.387,169181,23182,0.137,15537,0.0516,0.1386,0.092,20.9,905,0.785,23.3,0.128,12.17,0.8263,0.5401,0.3394,3
ORDR-0153,2025,3,1,1,nacional,aereo,3,182,0,0.198,0.718,0.107,0.08,0.054,0.045,0.09,0.175,100,8,2,0.492,0.138,0.268,0.474,178985,35164,0.1965,9855,0.02,0.091,0.0607,15.22,1175,0.909,28.67,0.0579,3.18,0.333,0.3207,0.2728,1
ORDR-0154,2025,11,4,6,internacional,maritimo,3,41,0,0.441,0.555,0.375,0.14,0.091,0.251,0.293,0.302,100,12,3,0.253,0.527,0.647,0.615,271506,47148,0.1737,27757,0.056,0.1279,0.1115,23.37,504,0.766,30.44,0.0402,12.01,0.9796,0.4186,0.5918,2
ORDR-0155,2025,12,4,14,internacional,aereo,1,42,0,0.322,0.249,0.228,0.036,0.033,0.112,0.055,0.095,100,7,2,0.244,0.758,0.296,0.432,92526,1078,0.0117,8648,0.0008,0.0576,0.0949,30.08,1150,0.877,11.49,0.513,2.53,0.2623,0.2159,0.4793,1
ORDR-0156,2024,7,3,23,nacional,terrestre,2,236,0,0.598,0.54,0.296,0.063,0.065,0.174,0.177,0.153,100,17,4,0.653,0.412,0.478,0.739,168113,21324,0.1268,12698,0.0422,0.0615,0.0706,27.57,690,0.78,18.9,0.2153,13.33,0.5581,0.7523,0.5406,1
ORDR-0157,2024,5,2,16,internacional,terrestre,3,191,0,0.397,0.359,0.37,0.124,0.088,0.254,0.287,0.271,100,14,4,0.769,0.732,0.618,0.532,265833,33173,0.1248,27312,0.0387,0.1391,0.1046,24.41,493,0.779,27.46,0.0713,8.07,0.9274,0.7259,0.6205,2
ORDR-0158,2024,2,1,18,internacional,terrestre,2,25,0,0.299,0.512,0.321,0.09,0.076,0.17,0.217,0.198,100,11,4,0.558,0.457,0.62,0.749,175116,25251,0.1442,7043,0.0374,0.0769,0.0438,26.89,680,0.867,19.48,0.2014,3.2,0.6822,0.59,0.6093,2
ORDR-0159,2024,2,1,4,internacional,aereo,3,121,1,0.054,0.626,0.057,0.079,0.078,0.129,0.165,0.221,100,8,3,0.685,0.472,0.754,0.471,216519,50604,0.2337,29832,0.0526,0.1273,0.1263,19.24,768,0.779,25.79,0.0919,8.37,0.4915,0.4764,0.5555,1
ORDR-0160,2025,9,3,22,nacional,terrestre,3,160,0,0.26,0.425,0.355,0.105,0.08,0.23,0.289,0.288,100,11,3,0.412,0.436,0.597,0.825,224809,29726,0.1322,15241,0.0436,0.1199,0.0651,25.43,560,0.738,32.0,0.0262,8.73,0.8715,0.4501,0.6229,2
ORDR-0161,2024,6,2,12,nacional,maritimo,3,135,0,0.525,0.412,0.295,0.082,0.049,0.176,0.156,0.083,100,18,5,0.98,0.743,0.9,0.773,251174,2512,0.01,12400,0.0154,0.0828,0.042,33.99,375,0.85,26.3,0.0854,5.81,0.4949,0.9746,0.814,4
ORDR-0162,2024,9,3,3,internacional,terrestre,2,41,0,0.126,0.478,0.307,0.082,0.059,0.219,0.236,0.202,100,16,4,0.308,0.762,0.682,0.544,189378,33041,0.1745,11602,0.0289,0.0485,0.0605,27.47,615,0.82,20.26,0.1843,3.62,0.6763,0.6149,0.6576,2
ORDR-0163,2025,5,2,12,nacional,terrestre,3,246,0,0.055,0.387,0.338,0.123,0.068,0.212,0.213,0.24,100,15,3,0.729,0.178,0.408,0.484,220190,36930,0.1677,25815,0.0571,0.1409,0.1313,18.47,787,0.775,28.6,0.0587,9.99,0.7725,0.6433,0.3391,3
ORDR-0164,2025,7,3,18,internacional,terrestre,3,130,0,0.271,0.417,0.098,0.021,0.035,0.149,0.072,0.024,100,14,3,0.909,0.791,0.744,0.915,238500,2385,0.01,5642,0.0,0.0,0.0203,35.83,375,1.0,20.97,0.1696,0.0,0.1726,0.6818,0.83,4
ORDR-0165,2025,10,4,24,internacional,terrestre,3,188,0,0.845,0.498,0.303,0.122,0.082,0.235,0.248,0.257,100,13,5,0.546,0.493,0.739,0.547,287550,30828,0.1072,20679,0.0246,0.0936,0.0634,26.41,421,0.868,32.28,0.0239,5.21,0.8318,0.7205,0.5864,2
ORDR-0166,2024,10,4,14,nacional,terrestre,2,126,0,0.071,0.37,0.146,0.077,0.036,0.144,0.121,0.213,100,16,4,0.808,0.371,0.41,0.685,144740,14639,0.1011,14596,0.0199,0.0621,0.0937,25.72,859,0.805,15.91,0.3018,7.26,0.4219,0.7825,0.4823,1
ORDR-0167,2025,2,1,14,nacional,terrestre,1,60,0,0.179,0.362,0.186,0.073,0.022,0.099,0.037,0.128,100,3,2,0.397,0.265,0.498,0.203,85000,6084,0.0716,4732,0.0309,0.0235,0.052,26.89,1200,0.936,12.63,0.4446,1.89,0.2698,0.1802,0.2936,1
ORDR-0168,2024,2,1,17,nacional,aereo,1,161,0,0.172,0.465,0.261,0.131,0.071,0.256,0.264,0.27,100,17,4,0.681,0.928,0.788,0.828,108913,11168,0.1025,10483,0.0333,0.0896,0.0815,26.11,1125,0.825,13.89,0.3816,10.54,0.8326,0.7617,0.8593,2
ORDR-0169,2024,5,2,10,internacional,terrestre,3,265,0,0.654,0.429,0.364,0.14,0.091,0.213,0.283,0.26,100,12,3,0.268,0.088,0.195,0.474,200881,38065,0.1895,32906,0.0585,0.136,0.1483,17.09,932,0.785,33.72,0.0124,13.55,0.9154,0.4236,0.2303,3
ORDR-0170,2025,4,2,3,nacional,terrestre,3,234,0,0.334,0.624,0.205,0.06,0.053,0.19,0.249,0.25,100,5,2,0.152,0.261,0.101,0.486,186139,35996,0.1934,28859,0.0455,0.0428,0.1455,14.64,1175,0.783,34.93,0.0034,11.75,0.5994,0.1416,0.2614,3
ORDR-0171,2024,1,1,7,internacional,terrestre,2,242,1,0.1,0.348,0.187,0.131,0.085,0.26,0.26,0.306,100,11,4,0.51,0.314,0.273,0.516,188185,44016,0.2339,30053,0.071,0.118,0.1855,9.15,1200,0.692,30.27,0.0418,14.66,0.8478,0.5739,0.3509,3
ORDR-0172,2025,3,1,1,nacional,aereo,2,83,0,0.176,0.579,0.23,0.07,0.066,0.161,0.159,0.224,100,8,4,0.655,0.057,0.167,0.22,151388,25213,0.1665,12052,0.034,0.1341,0.0724,24.75,854,0.795,19.19,0.2084,13.09,0.5606,0.5573,0.1134,3
ORDR-0173,2025,12,4,21,internacional,terrestre,3,278,0,0.338,0.455,0.3,0.112,0.081,0.241,0.203,0.266,100,19,5,0.989,0.769,0.93,0.807,202097,29125,0.1441,21294,0.0373,0.108,0.1095,24.71,641,0.818,27.94,0.0658,3.76,0.7955,0.9993,0.8463,2
ORDR-0174,2025,3,1,16,internacional,maritimo,2,42,0,0.861,0.309,0.34,0.132,0.084,0.239,0.24,0.262,100,18,5,0.755,0.911,0.804,0.899,270049,25037,0.0927,12330,0.0372,0.1112,0.0522,30.74,386,0.82,20.46,0.18,9.24,0.8694,0.8992,0.886,2
